,Timestamp,Umidade,Radiacao
0,2018-01-01,70.21772639691714,3183.897509578544
1,2018-01-02,71.81190019193858,2995.5719465648854
2,2018-01-03,69.9187380497132,3128.336311787072
3,2018-01-04,69.8050193050193,2993.0222222222224
4,2018-01-05,70.46923076923076,3060.7246679316886
5,2018-01-06,72.46353166986565,2889.9946666666665
6,2018-01-07,72.15414258188825,2938.6373106060605
7,2018-01-08,71.8121387283237,2934.72226487524
8,2018-01-09,72.18858800773694,2917.898272552783
9,2018-01-10,71.6820809248555,3002.658349328215
10,2018-01-11,71.46531791907515,3022.903269230769
11,2018-01-12,71.3827519379845,3020.3547206165704
12,2018-01-13,70.67021276595744,3144.8017341040463
13,2018-01-14,72.11315280464217,3010.0710424710423
14,2018-01-15,71.32295719844358,3026.14111969112
15,2018-01-16,69.284046692607,3239.8830443159923
16,2018-01-17,67.70077972709552,3339.0555125725336
17,2018-01-18,66.44282945736434,3283.1793436293433
18,2018-01-19,66.37062256809338,3225.103675048356
19,2018-01-20,66.27378640776699,3317.4994197292067
20,2018-01-21,66.93385214007782,3173.4746124031008
21,2018-01-22,66.76264591439688,3312.3472868217054
22,2018-01-23,67.32815533980583,3248.5015444015444
23,2018-01-24,68.48732943469786,3182.5409708737866
24,2018-01-25,70.5888671875,3045.6069902912623
25,2018-01-26,71.68074656188605,3034.1341130604287
26,2018-01-27,72.59197651663405,3001.3769980506822
27,2018-01-28,72.66276803118909,3017.1526112185684
28,2018-01-29,72.28696498054475,3001.9052325581397
29,2018-01-30,73.3994140625,2858.1089494163425
30,2018-01-31,72.24074074074075,3018.2926070038907
31,2018-02-01,71.47368421052632,3033.32015503876
32,2018-02-02,71.453216374269,2955.753488372093
33,2018-02-03,72.8656862745098,2793.548643410853
34,2018-02-04,74.63948919449902,2520.0857976653697
35,2018-02-05,73.50489236790607,2729.5050387596903
36,2018-02-06,71.91976516634051,2973.885019455253
37,2018-02-07,70.84117647058824,3048.4350877192983
38,2018-02-08,69.7802734375,3207.6261121856865
39,2018-02-09,71.76129666011788,2962.982879377432
40,2018-02-10,74.62670565302145,2832.887258687259
41,2018-02-11,73.14383561643835,3007.3712621359223
42,2018-02-12,72.13627450980393,3023.3640077821015
43,2018-02-13,71.8798828125,3047.695914396887
44,2018-02-14,72.64538310412574,2966.7613725490196
45,2018-02-15,71.8156862745098,3067.766147859922
46,2018-02-16,70.76666666666667,3191.2126213592232
47,2018-02-17,72.59980430528375,2955.070955165692
48,2018-02-18,74.42842942345925,2841.975098039216
49,2018-02-19,75.65354330708661,2759.921960784314
50,2018-02-20,75.84637964774952,2766.3734375
51,2018-02-21,73.50389105058366,2995.820077220077
52,2018-02-22,73.05717054263566,2941.390944123314
53,2018-02-23,72.3883495145631,3080.10366088632
54,2018-02-24,72.69552529182879,3020.9046601941745
55,2018-02-25,72.7023346303502,2973.1335260115607
56,2018-02-26,73.13300970873786,2922.1571153846153
57,2018-02-27,72.72718446601942,3058.5194230769234
58,2018-02-28,71.91312741312741,3181.327238095238
59,2018-03-01,71.73166023166023,3197.2763809523813
60,2018-03-02,71.62955854126679,3194.3716730038022
61,2018-03-03,71.42596153846154,3226.3901515151515
62,2018-03-04,71.03365384615384,3156.1693916349814
63,2018-03-05,70.76107899807322,3182.727671755725
64,2018-03-06,70.9373795761079,3183.1309160305345
65,2018-03-07,72.3159922928709,3033.0311663479924
66,2018-03-08,73.9874031007752,2776.0147792706334
67,2018-03-09,73.71984435797665,2921.6198841698842
68,2018-03-10,74.18199608610567,2979.103689320388
69,2018-03-11,73.2841796875,2932.482273603083
70,2018-03-12,71.48635477582846,3158.4720077220077
71,2018-03-13,71.5791015625,2848.306153846154
72,2018-03-14,71.79824561403508,2967.667692307692
73,2018-03-15,72.70309477756287,2868.3543186180423
74,2018-03-16,70.95270270270271,3131.2121153846156
75,2018-03-17,71.6247582205029,3040.9564547206164
76,2018-03-18,71.01063829787235,3124.3440384615383
77,2018-03-19,70.5891472868217,3076.4190019193857
78,2018-03-20,72.02030947775629,2918.6213461538464
79,2018-03-21,72.33689320388349,2951.884674329502
80,2018-03-22,73.37279843444227,2875.4801941747573
81,2018-03-23,73.97184466019418,2783.0623076923075
82,2018-03-24,74.3503861003861,2712.112786259542
83,2018-03-25,75.01937984496124,2612.1120229007633
84,2018-03-26,75.70116054158608,2514.989674952199
85,2018-03-27,74.513671875,2687.382432432433
86,2018-03-28,73.83011583011583,2719.6814744801513
87,2018-03-29,73.29013539651838,2789.5402646502835
88,2018-03-30,73.53378378378379,2829.233522727273
89,2018-03-31,75.20576923076923,2604.096981132075
90,2018-04-01,74.87307692307692,2679.3557438794724
91,2018-04-02,74.92181467181467,2651.778449905482
92,2018-04-03,73.30480769230769,2832.8825515947465
93,2018-04-04,73.66184971098266,2815.744423440454
94,2018-04-05,72.67953667953668,2824.7499054820414
95,2018-04-06,73.39671814671814,2659.964595103578
96,2018-04-07,71.86319845857417,2797.267358490566
97,2018-04-08,71.84104046242774,2837.9200378071832
98,2018-04-09,71.96525096525096,2789.671509433962
99,2018-04-10,71.31634615384615,2838.801325757576
100,2018-04-11,71.57485604606526,2689.4013133208255
101,2018-04-12,72.45673076923077,2584.2056603773585
102,2018-04-13,73.3131021194605,2544.375939849624
103,2018-04-14,74.96374045801527,2437.2029962546817
104,2018-04-15,75.89196940726578,2392.6770676691726
105,2018-04-16,75.48362235067438,2417.797744360902
106,2018-04-17,74.16826003824092,2399.460707635009
107,2018-04-18,71.49147727272727,2676.2836095764274
108,2018-04-19,70.64772727272727,2729.358118081181
