,Timestamp,Consumo,Estacao
147,2018-11-25,55.303599999999996,Outono
148,2018-11-26,63.804050000000004,Outono
149,2018-11-27,64.85718,Outono
150,2018-11-28,65.92547,Outono
151,2018-11-29,67.23582,Outono
152,2018-11-30,67.47923,Outono
153,2018-12-01,61.13293,Inverno
154,2018-12-02,54.93102,Inverno
155,2018-12-03,63.016119999999994,Inverno
156,2018-12-04,64.87132,Inverno
157,2018-12-05,66.63525,Inverno
158,2018-12-06,66.81038000000001,Inverno
159,2018-12-07,65.35177,Inverno
160,2018-12-08,57.94408,Inverno
161,2018-12-09,52.73778,Inverno
162,2018-12-10,63.969339999999995,Inverno
163,2018-12-11,67.91696,Inverno
164,2018-12-12,69.47685,Inverno
165,2018-12-13,69.8975,Inverno
166,2018-12-14,69.91488000000001,Inverno
167,2018-12-15,64.23733,Inverno
168,2018-12-16,58.9504,Inverno
169,2018-12-17,69.94842,Inverno
170,2018-12-18,70.42209,Inverno
171,2018-12-19,69.4251,Inverno
172,2018-12-20,69.31689999999999,Inverno
173,2018-12-21,67.9123,Inverno
174,2018-12-22,62.4757,Inverno
175,2018-12-23,57.463989999999995,Inverno
176,2018-12-24,56.71984,Inverno
177,2018-12-25,50.348459999999996,Inverno
178,2018-12-26,59.16892,Inverno
179,2018-12-27,61.19679,Inverno
180,2018-12-28,62.003209999999996,Inverno
181,2018-12-29,59.203089999999996,Inverno
182,2018-12-30,56.021860000000004,Inverno
183,2018-12-31,56.82804,Inverno
184,2019-01-01,52.92599,Inverno
185,2019-01-02,64.2733,Inverno
186,2019-01-03,68.20124,Inverno
187,2019-01-04,67.22842999999999,Inverno
188,2019-01-05,61.27545,Inverno
189,2019-01-06,56.76817,Inverno
190,2019-01-07,67.25614,Inverno
191,2019-01-08,69.56527,Inverno
192,2019-01-09,70.15269,Inverno
193,2019-01-10,69.94607,Inverno
194,2019-01-11,69.47486,Inverno
195,2019-01-12,63.74143,Inverno
196,2019-01-13,58.46112,Inverno
197,2019-01-14,69.67878,Inverno
198,2019-01-15,71.64116,Inverno
199,2019-01-16,72.76055000000001,Inverno
200,2019-01-17,72.43224000000001,Inverno
201,2019-01-18,71.71873,Inverno
202,2019-01-19,64.95755,Inverno
203,2019-01-20,59.36464,Inverno
204,2019-01-21,71.13933999999999,Inverno
205,2019-01-22,73.83973999999999,Inverno
206,2019-01-23,74.50585000000001,Inverno
207,2019-01-24,73.51665,Inverno
208,2019-01-25,71.06026,Inverno
209,2019-01-26,63.55095,Inverno
