,Timestamp,Consumo,Temperatura,Umidade,Radiacao
0,2018-01-07,51.88078,23.86996137100526,72.15414258188825,2938.6373106060605
1,2018-01-08,62.30443,23.9981590728136,71.8121387283237,2934.72226487524
2,2018-01-09,59.03524,23.983410005274568,72.18858800773694,2917.898272552783
3,2018-01-10,64.66882,24.53429058325757,71.6820809248555,3002.658349328215
4,2018-01-11,66.07898,24.439706763408967,71.46531791907515,3022.903269230769
5,2018-01-12,61.13293,24.1428762768133,71.3827519379845,3020.3547206165704
6,2018-02-07,59.15982,24.68767607198704,70.84117647058824,3048.4350877192983
7,2018-02-08,62.56731,25.2004876412524,69.7802734375,3207.6261121856865
8,2018-02-09,53.33481,25.28823716740056,71.76129666011788,2962.982879377432
9,2018-02-10,67.05035000000001,24.61480630646505,74.62670565302145,2832.887258687259
10,2018-02-11,57.70773,24.664188187077325,73.14383561643835,3007.3712621359223
11,2018-02-12,54.93102,24.36155816470842,72.13627450980393,3023.364007782101
12,2018-03-07,62.53248000000001,25.11918740035217,72.3159922928709,3033.0311663479924
13,2018-03-08,62.29585,24.52504654285587,73.9874031007752,2776.0147792706334
14,2018-03-09,62.16033,24.598217608900647,73.71984435797665,2921.619884169884
15,2018-03-10,67.7928,24.92069520198326,74.18199608610567,2979.103689320388
16,2018-03-11,58.640550000000005,25.23702759541572,73.2841796875,2932.482273603083
17,2018-03-12,63.01612,25.233012896949173,71.48635477582846,3158.472007722008
18,2018-04-07,62.5392,23.987793278583645,71.86319845857417,2797.267358490566
19,2018-04-08,57.30038,24.04069034880444,71.84104046242774,2837.9200378071832
20,2018-04-09,62.349520000000005,24.06431826811339,71.96525096525096,2789.671509433962
21,2018-04-10,67.04996000000001,24.090215203980264,71.31634615384615,2838.801325757576
22,2018-04-11,54.20235,23.947716054460795,71.57485604606526,2689.401313320825
23,2018-04-12,64.87132,23.590442470982428,72.45673076923077,2584.2056603773585
24,2018-05-07,63.085260000000005,23.25022216358438,71.0570093457944,2489.8710865561693
25,2018-05-08,51.92166,22.99108754684727,70.57699443413729,2464.854347826087
26,2018-05-09,61.7803,22.90315016650028,70.09107806691449,2468.5646739130434
27,2018-05-10,65.54289999999999,22.82434783861202,69.02626641651032,2537.399268738574
28,2018-05-11,63.31008,22.744889409501983,69.71175373134328,2407.773224043716
29,2018-05-12,66.63525,22.42245779597861,70.05639097744361,2520.521651376147
30,2018-06-07,60.69226999999999,20.464351122119847,73.07555970149254,2111.207299270073
31,2018-06-08,60.80423,20.18218050325389,71.1588785046729,2300.8100732600733
32,2018-06-09,61.90492,21.01170663640268,69.90934579439252,2258.2983516483514
33,2018-06-10,58.98482,22.740883623532078,69.83582089552239,2160.195063985375
34,2018-06-11,64.88786999999999,23.444426701238648,69.75468164794007,2194.477064220184
35,2018-06-12,66.81038000000001,22.931149336672533,69.82926829268293,2217.3798165137614
36,2018-07-07,57.44642,21.82990004863712,64.1803738317757,2310.7654981549813
37,2018-07-08,61.99556,21.514721973766896,64.91340782122904,2326.1466789667898
38,2018-07-09,55.3123,20.33266448126593,66.5,2229.475046210721
39,2018-07-10,52.58125,18.715795301532356,67.57089552238806,2201.611049723757
40,2018-07-11,65.08588,18.475092336611336,66.09647495361781,2366.0238970588234
41,2018-07-12,65.35177,19.33749303760936,64.05514018691589,2419.258225508318
42,2018-07-13,61.24131,20.646549277254877,61.66511194029851,2421.0259191176474
43,2018-07-14,56.8616,21.535013531358043,62.03896103896104,2476.666361974406
44,2018-07-15,51.51006,22.249103828068453,61.44795539033457,2479.040992647059
45,2018-07-16,60.56621,22.35952431867497,61.615671641791046,2413.367830882353
46,2018-07-17,62.29262,22.246093582627545,62.88432835820896,2417.436513761468
47,2018-07-18,62.5157,22.42470742965076,62.35940409683426,2472.598899082569
48,2018-07-19,62.8996,22.59256983161526,61.19557195571956,2546.4572212065814
49,2018-07-20,62.92273,22.16993087480232,62.50092592592593,2448.166361974406
50,2018-07-21,57.73046,20.359427477153496,62.73694029850746,2552.205474452555
51,2018-07-22,51.92358,20.563879307619604,64.26987060998151,2404.240145985402
52,2018-07-23,61.04704,21.78758063886651,62.63031423290203,2474.6748175182483
53,2018-07-24,62.42178,21.09013942877382,64.56868131868131,2350.27009009009
