Timestamp,Consumo,Temperatura,Umidade,Radiacao,Feriado
2018-07-07,57.44642,21.82990004863712,64.1803738317757,2310.7654981549813,False
2018-07-08,51.79565,21.514721973766896,64.91340782122904,2326.1466789667898,False
2018-07-09,58.6304,20.33266448126593,66.5,2229.475046210721,False
2018-07-10,60.82406,18.71579530153236,67.57089552238806,2201.611049723757,False
2018-07-11,60.62092,18.475092336611336,66.09647495361781,2366.0238970588234,False
2018-07-12,60.90685,19.33749303760936,64.05514018691589,2419.258225508318,False
2018-07-13,61.24131,20.64654927725488,61.66511194029851,2421.0259191176474,False
2018-07-14,56.8616,21.535013531358043,62.03896103896104,2476.666361974406,False
2018-07-15,51.51006,22.249103828068453,61.44795539033457,2479.040992647059,False
2018-07-16,60.56621,22.35952431867497,61.615671641791046,2413.367830882353,False
2018-07-17,62.29262,22.246093582627545,62.88432835820896,2417.436513761468,False
2018-07-18,62.5157,22.42470742965076,62.35940409683426,2472.598899082569,False
2018-07-19,62.8996,22.59256983161526,61.19557195571956,2546.4572212065814,False
2018-07-20,62.92273,22.16993087480232,62.50092592592593,2448.166361974406,False
2018-07-21,57.73046,20.359427477153496,62.73694029850746,2552.205474452555,False
2018-07-22,51.92358,20.563879307619604,64.26987060998151,2404.240145985402,False
2018-07-23,61.04704,21.78758063886651,62.63031423290203,2474.6748175182483,False
2018-07-24,62.42178,21.09013942877382,64.56868131868131,2350.27009009009,False
2018-07-25,62.18261,20.98424421440541,65.78216911764706,2333.991877256318,False
2018-07-26,62.35786,21.2158352835872,65.14781021897811,2430.248736462094,False
2018-07-27,62.39846,21.347443216603303,63.77930402930403,2481.1054347826084,False
2018-07-28,57.76448,22.06429754045244,62.00920810313075,2441.5569090909094,False
2018-07-29,52.55284,21.923644310839965,61.2211009174312,2583.0340579710146,False
2018-07-30,61.71394,21.58692478447371,61.74588665447897,2531.496195652174,False
2018-07-31,62.50198,21.21508284718196,64.4580291970803,2430.9983695652177,False
2018-08-07,61.99556,21.73112554188813,66.71743119266056,2456.322545454545,False
2018-08-08,62.6803,22.27322917378556,66.71897810218978,2326.525724637681,False
2018-08-09,62.88748,21.41601865334639,66.94332723948811,2430.3922101449275,False
2018-08-10,62.17665,20.455677023630425,62.85480943738657,2713.1324863883847,False
2018-08-11,57.09061,20.88821392382134,60.5200364298725,2751.184727272728,False
2018-08-12,51.01071,21.52443198817943,59.14377289377289,2808.037704918033,False
2018-08-13,60.67117,22.09241778575454,59.44587155963303,2760.3067395264115,False
2018-08-14,62.531940000000006,22.41183025936505,59.45680147058823,2759.9436131386865,False
2018-08-15,62.21099,21.796859756822,63.03467153284672,2513.7112932604737,False
2018-08-16,62.37339,21.60268571175705,66.12522686025409,2296.8350180505417,False
2018-08-17,62.36981,21.70740857307405,67.09510869565217,2440.14434470377,False
2018-08-18,57.47511,21.976704871665618,65.03532608695652,2630.9159784560143,False
2018-08-19,52.086,22.474441879549577,62.978142076502735,2695.369189189189,False
2018-08-20,61.20668,21.48403654376116,64.01361161524501,2584.9517055655297,False
2018-08-21,62.75082,20.65507274310536,65.05045871559633,2554.5221415607984,False
2018-08-22,62.87213,20.95885924697929,66.24728260869566,2451.735985533454,False
2018-08-23,63.36561,22.573739086838504,62.89673913043478,2841.3081227436824,False
2018-08-24,64.07448,23.72548365252871,61.77504553734062,2588.643942133816,False
2018-08-25,58.15236,21.892700402559395,62.939890710382514,2589.7679347826083,False
2018-08-26,51.70898,20.714224924808548,60.97905282331512,2762.1308664259927,False
2018-08-27,60.36023,20.859199692385943,60.88203266787659,2786.253249097473,False
2018-08-28,61.86062,22.170153354083897,62.025454545454544,2792.203623188406,False
2018-08-29,62.3774,23.256112064981508,60.418330308529946,2890.381407942238,False
2018-08-30,62.89731,23.666692893118285,58.61657559198543,2897.087050359712,False
2018-08-31,63.58593,23.724686773417304,58.52007299270073,2788.730990990991,False
2018-09-07,55.3123,22.97283651540359,57.86770072992701,3020.9810564663026,True
2018-09-08,54.79437,23.14860772717806,56.70496323529412,3081.704181818182,False
2018-09-09,51.80853,23.10974352594718,57.55871559633027,3013.367150635209,False
2018-09-10,61.524260000000005,23.35349738726096,58.29578754578755,2965.404,False
2018-09-11,63.60445,23.59246240175245,58.65837937384899,2894.4241818181818,False
2018-09-12,63.89877,23.69902261512246,59.40441176470589,2811.771818181818,False
2018-09-13,64.18668,23.624486705057848,60.81985294117647,2628.6359633027523,False
2018-09-14,63.368010000000005,22.717126592170786,66.36924493554328,2396.105839416058,False
2018-09-15,58.16349,22.925164300054167,67.32636363636364,2666.427207207207,False
2018-09-16,52.66237,23.56204031171395,66.45628415300547,2722.2297833935017,False
2018-09-17,61.622020000000006,23.1630538738467,70.85688073394495,2155.6416666666664,False
2018-09-18,63.74464,24.022512573435858,67.07129798903108,2670.208333333333,False
2018-09-19,65.00543,24.777719392292905,64.73853211009174,2847.712159709619,False
2018-09-20,63.81298,23.86573587999166,67.26648351648352,2530.887295825771,False
2018-09-21,64.55129,24.378377317133964,64.50453720508168,3070.675270758123,False
2018-09-22,60.10517,25.70020294445503,60.26094890510949,3212.3227436823104,False
2018-09-23,55.10439,25.95649020442736,59.48080438756856,3105.3690217391304,False
2018-09-24,65.54233,25.828883453847087,59.9743119266055,2990.112658227848,False
2018-09-25,67.10797,25.080293984858063,62.64963503649635,2850.3278985507245,False
2018-09-26,67.62167,25.39067512196936,62.252285191956126,3023.795840867993,False
2018-09-27,67.29294,25.04874146055812,63.5985401459854,2809.9635701275047,False
