Timestamp,Consumo,Temperatura
2018-01-07,51.88078,23.86996137100526
2018-01-08,62.30443,23.9981590728136
2018-01-09,59.035239999999995,23.983410005274568
2018-01-10,64.66882,24.534290583257572
2018-01-11,66.07898,24.439706763408967
2018-01-12,61.13293,24.1428762768133
2018-02-07,59.159819999999996,24.687676071987042
2018-02-08,62.56731,25.2004876412524
2018-02-09,53.33481,25.28823716740056
2018-02-10,67.05035000000001,24.614806306465052
2018-02-11,57.70773,24.664188187077325
2018-02-12,54.93102,24.36155816470842
2018-03-07,62.53248000000001,25.11918740035217
2018-03-08,62.29585,24.52504654285587
2018-03-09,62.16033,24.598217608900647
2018-03-10,67.7928,24.92069520198326
2018-03-11,58.640550000000005,25.237027595415718
2018-03-12,63.016119999999994,25.233012896949173
2018-04-07,62.539199999999994,23.987793278583645
2018-04-08,57.30038,24.040690348804436
2018-04-09,62.349520000000005,24.06431826811339
2018-04-10,67.04996000000001,24.090215203980264
2018-04-11,54.202349999999996,23.947716054460795
2018-04-12,64.87132,23.590442470982428
2018-05-07,63.085260000000005,23.25022216358438
2018-05-08,51.92166,22.99108754684727
2018-05-09,61.780300000000004,22.903150166500282
2018-05-10,65.54289999999999,22.82434783861202
2018-05-11,63.31008,22.744889409501983
2018-05-12,66.63525,22.42245779597861
2018-06-07,60.69226999999999,20.464351122119847
2018-06-08,60.804230000000004,20.18218050325389
2018-06-09,61.90492,21.011706636402682
2018-06-10,58.98482,22.740883623532074
2018-06-11,64.88786999999999,23.444426701238648
2018-06-12,66.81038000000001,22.931149336672533
2018-07-07,57.446419999999996,21.82990004863712
2018-07-08,61.99556,21.514721973766896
2018-07-09,55.3123,20.332664481265926
2018-07-10,52.58125,18.715795301532353
2018-07-11,65.08588,18.475092336611336
2018-07-12,65.35177,19.33749303760936
2018-07-13,61.24131,20.646549277254874
2018-07-14,56.861599999999996,21.535013531358043
2018-07-15,51.510059999999996,22.249103828068453
2018-07-16,60.56621,22.35952431867497
2018-07-17,62.29262,22.246093582627545
2018-07-18,62.515699999999995,22.42470742965076
2018-07-19,62.8996,22.59256983161526
2018-07-20,62.922729999999994,22.16993087480232
2018-07-21,57.73046,20.359427477153496
2018-07-22,51.92358,20.563879307619604
2018-07-23,61.04704,21.78758063886651
2018-07-24,62.42178,21.09013942877382
2018-07-25,62.182610000000004,20.98424421440541
2018-07-26,62.35786,21.215835283587193
2018-07-27,62.39846,21.347443216603303
2018-07-28,57.76448,22.06429754045244
2018-07-29,52.552839999999996,21.923644310839965
2018-07-30,61.71394,21.58692478447371
2018-07-31,62.50198,21.21508284718196
2018-08-07,51.79565,21.731125541888126
2018-08-08,62.6803,22.27322917378556
2018-08-09,54.79437,21.41601865334639
2018-08-10,63.479980000000005,20.455677023630425
2018-08-11,63.903800000000004,20.88821392382134
2018-08-12,57.94408,21.52443198817943
2018-08-13,60.67117,22.09241778575454
2018-08-14,62.531940000000006,22.411830259365054
2018-08-15,62.210989999999995,21.796859756822
2018-08-16,62.37339,21.60268571175705
2018-08-17,62.36981,21.70740857307405
2018-08-18,57.47511,21.976704871665618
2018-08-19,52.086,22.474441879549577
2018-08-20,61.20668,21.48403654376116
2018-08-21,62.75082,20.655072743105354
2018-08-22,62.87213,20.958859246979294
2018-08-23,63.365610000000004,22.573739086838504
2018-08-24,64.07448,23.72548365252871
2018-08-25,58.15236,21.892700402559395
2018-08-26,51.70898,20.714224924808548
2018-08-27,60.36023,20.859199692385943
2018-08-28,61.86062,22.170153354083897
2018-08-29,62.3774,23.256112064981508
2018-08-30,62.89731,23.666692893118285
2018-08-31,63.58593,23.724686773417304
2018-09-07,58.6304,22.97283651540359
2018-09-08,62.887480000000004,23.14860772717806
2018-09-09,51.80853,23.10974352594718
2018-09-10,66.07961999999999,23.353497387260962
2018-09-11,64.13098000000001,23.592462401752446
2018-09-12,52.73778,23.69902261512246
2018-09-13,64.18668,23.624486705057848
2018-09-14,63.368010000000005,22.717126592170782
2018-09-15,58.163489999999996,22.925164300054167
2018-09-16,52.662369999999996,23.56204031171395
2018-09-17,61.622020000000006,23.1630538738467
2018-09-18,63.74464,24.022512573435858
2018-09-19,65.00543,24.777719392292905
2018-09-20,63.81298,23.86573587999166
2018-09-21,64.55129,24.378377317133964
2018-09-22,60.10517,25.70020294445503
2018-09-23,55.10439,25.956490204427357
2018-09-24,65.54233,25.828883453847087
2018-09-25,67.10797,25.080293984858063
2018-09-26,67.62167,25.390675121969362
2018-09-27,67.29294,25.048741460558116
2018-09-28,66.08883999999999,25.08254898600427
2018-09-29,60.91501,25.685637515531397
2018-09-30,54.85159,24.972125203492478
2018-10-07,60.824059999999996,23.71313853008992
2018-10-08,62.17665,24.719006780275045
2018-10-09,61.524260000000005,25.25955068717359
2018-10-10,66.65246,24.954296380199914
2018-10-11,60.26147,24.68560587703446
2018-10-12,63.969339999999995,25.072648881609933
2018-10-13,59.014720000000004,25.61506668084243
2018-10-14,54.88607,25.10029007554164
2018-10-15,63.957879999999996,24.818323641816004
2018-10-16,66.22735,24.766597051975094
2018-10-17,67.09931,25.30028261865075
2018-10-18,67.38247,25.57231529440542
2018-10-19,66.13386,24.675539467387537
2018-10-20,59.44066,24.13559947941329
2018-10-21,52.88173,23.057421214082698
2018-10-22,63.36737,23.77110753284725
2018-10-23,66.17250999999999,24.736008007129733
2018-10-24,65.38558,24.200854876253945
2018-10-25,65.13076,24.330848645916387
2018-10-26,65.67622,25.04396393426995
2018-10-27,60.60582,25.07469961614672
2018-10-28,53.53507,24.148378022505103
